year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1947,,,,,,,,,,,,
1948,,,,,,,,,,,,
1949,,,,,,,,,,,,
1950,-1.5,,,,,,,,,,,
1951,-0.8,-1.3,-1.2,-1.2,-1.1,-0.9,-0.5,-0.4,-0.4,-0.4,-0.6,-0.8
1952,0.5,-0.5,-0.2,0.2,0.4,0.6,0.7,0.9,1.0,1.2,1.0,0.8
1953,0.4,0.4,0.3,0.3,0.2,0.0,-0.1,0.0,0.2,0.1,0.0,0.1
1954,0.8,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8
1955,-0.7,0.5,0.0,-0.4,-0.5,-0.5,-0.6,-0.8,-0.9,-0.8,-0.7,-0.7
1956,-1.1,-0.6,-0.7,-0.8,-0.8,-0.7,-0.7,-0.7,-1.1,-1.4,-1.7,-1.5
1957,-0.2,-0.8,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4
1958,1.8,0.1,0.4,0.7,0.9, 1.1,1.3,1.3,1.3,1.4,1.5,1.7
1959,0.6,1.7,1.3,0.9,0.7, 0.6,0.6,0.4,0.4,0.4,0.5,0.6
1960,-0.1,0.6,0.5,0.3,0.2,-0.1,-0.2,-0.3,-0.1,0.0,0.0,0.0
1961,0.0,-0.1,-0.1,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.1
1962,-0.2,0.0,0.0,0.1,0.2,0.3,0.1,-0.1,-0.3,-0.3,-0.2,-0.2
1963,-0.4,-0.2,-0.2,-0.3,-0.3,-0.2,0.0,-0.1,-0.1,-0.2,-0.3,-0.4
1964,1.1,-0.2,0.2,0.3,0.3,0.5,0.9,1.1,1.2,1.3,1.4,1.3
1965,-0.6,0.6,0.1,-0.3,-0.6,-0.6,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8
1966,1.4,-0.3,-0.1,0.2,0.5,0.8,1.2,1.5,1.9,2.0,2.0,1.7
1967,-0.4,1.2,1.0,0.7,0.4,0.2,0.2,0.1,-0.1,-0.1,-0.2,-0.3
1968,-0.6,-0.5,-0.5,-0.4,-0.2,0.0,0.0,-0.2,-0.3,-0.4,-0.3,-0.4
1969,1.1,-0.7,-0.6,-0.4,0.0,0.3,0.6,0.5,0.4,0.5,0.7,1.0
1970,0.5,1.1,0.9,0.8,0.6,0.4,0.4,0.5,0.8,0.9,0.8,0.6
1971,-1.4,0.3,0.3,0.2,0.0,-0.3,-0.6,-0.8,-0.8,-0.7,-0.9,-1.1
1972,-0.7,-1.4,-1.1,-0.8,-0.7,-0.7,-0.8,-0.8,-0.8,-0.9,-1.0,-0.9
1973,1.8,-0.4,0.1,0.4,0.7,0.9,1.1,1.4,1.6,1.8,2.1,2.1
1974,-1.8,1.2,0.5,-0.1,-0.5,-0.9,-1.1,-1.3,-1.5,-1.7,-1.9,-2.0
1975,-0.5,-1.6,-1.2,-1.0,-0.9,-0.8,-0.5,-0.4,-0.4,-0.6,-0.8,-0.6
1976,-1.6,-0.6,-0.7,-0.7,-0.8,-1.0,-1.1,-1.2,-1.4,-1.4,-1.6,-1.7
1977,0.7,-1.2,-0.7,-0.5,-0.3,0.0,0.2,0.4,0.6,0.8,0.9,0.8
1978,0.7,0.6,0.3,0.2,0.2,0.3,0.4,0.4,0.6,0.7,0.8,0.8
1979,0.0,0.4,0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.1,0.0
1980,0.6,0.1,0.2,0.3,0.2,0.0,0.0,0.2,0.3,0.5,0.5,0.6
1981,-0.3,0.5,0.3,0.4,0.5,0.5,0.3,0.0,-0.1,0.0,0.1,0.0
1982,0.0,-0.5,-0.5,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1
1983,2.2,0.1,0.2,0.5,0.7,0.7,0.8,1.1,1.6,2.0,2.2,2.2
1984,-0.6,1.9,1.5,1.3,1.1,0.7,0.3,-0.1,-0.5,-0.8,-1.0,-0.9
1985,-1.0,-0.4,-0.3,-0.4,-0.5,-0.4,-0.3,-0.2,-0.2,-0.6,-0.9,-1.1
1986,-0.5,-0.8,-0.8,-0.8,-0.8,-0.6,-0.5,-0.5,-0.4,-0.3,-0.3,-0.4
1987,1.2,-0.5,-0.3,-0.2,-0.1,0.0,0.2,0.4,0.7,0.9,1.1,1.2
1988,0.8,1.2,1.1,0.9,1.0,1.2,1.5,1.7,1.6,1.5,1.3,1.1
1989,-1.7,0.5,0.1,-0.3,-0.9,-1.3,-1.3,-1.1,-1.2,-1.5,-1.8,-1.8
1990,0.1,-1.4,-1.1,-0.8,-0.6,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1
1991,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4
1992,1.7,0.3,0.2,0.3,0.5,0.6,0.7,0.6,0.6,0.8,1.2,1.5
1993,0.1,1.6,1.5,1.3,1.1,0.7,0.4,0.1,-0.1,-0.2,-0.3,-0.1
1994,0.1,0.3,0.5,0.7,0.7,0.6,0.3,0.3,0.2,0.1,0.0,0.1
1995,1.0,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.6,0.7,1.0,1.1
1996,-0.9,0.7,0.5,0.3,0.1,0.0,-0.2,-0.5,-0.8,-1.0,-1.0,-1.0
1997,-0.5,-0.8,-0.6,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.5
1998,2.2,-0.4,-0.1,0.3,0.8,1.2,1.6,1.9,2.1,2.3,2.4,2.4
1999,-1.5,1.9,1.4,1.0,0.5,-0.1,-0.8,-1.1,-1.3,-1.4,-1.5,-1.6
2000,-1.7,-1.3,-1.1,-1.0,-1.0,-1.0,-1.1,-1.1,-1.2,-1.3,-1.5,-1.7
2001,-0.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
2002,-0.1,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
2003,0.9,0.0,0.1,0.2,0.4,0.7,0.8,0.9,1.0,1.2,1.3,1.1
2004,0.4,0.6,0.4,0.0,-0.3,-0.2,0.1,0.2,0.3,0.3,0.4,0.4
2005,0.6,0.3,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.7
2006,-0.9,0.6,0.4,0.4,0.3,0.1,-0.1,-0.1,-0.1,-0.3,-0.6,-0.8
2007,0.7,-0.8,-0.6,-0.4,-0.1,0.0,0.1,0.3,0.5,0.8,0.9,0.9
2008,-1.6,0.2,-0.1,-0.3,-0.4,-0.5,-0.6,-0.8,-1.1,-1.3,-1.5,-1.6
2009,-0.8,-1.5,-1.3,-1.0,-0.8,-0.6,-0.4,-0.2,-0.2,-0.4,-0.6,-0.7
2010,1.5,-0.8,-0.6,-0.3,0.0,0.3,0.5,0.6,0.7,1.0,1.4,1.6
2011,-1.4,1.2,0.8,0.4,-0.2,-0.7,-1.0,-1.3,-1.6,-1.6,-1.6,-1.6
2012,-0.9,-1.2,-0.9,-0.7,-0.6,-0.4,-0.5,-0.6,-0.8,-1.0,-1.1,-1.0
2013,-0.4,-0.7,-0.6,-0.5,-0.3,0.0,0.2,0.4,0.4,0.3,0.1,-0.2
2014,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.3
2015,0.5,-0.5,-0.3,0.0,0.2,0.2,0.0,0.1,0.2,0.5,0.6,0.7
2016,2.5,0.5,0.5,0.7,0.9,1.2,1.5,1.9,2.2,2.4,2.6,2.6
2017,-0.3,2.1,1.6,0.9,0.4,-0.1,-0.4,-0.5,-0.6,-0.7,-0.7,-0.6
2018,-0.9,-0.2,0.1,0.2,0.3,0.3,0.1,-0.1,-0.4,-0.7,-0.8,-1.0
2019,0.7,-0.9,-0.7,-0.5,-0.2,0.0,0.1,0.2,0.5,0.8,0.9,0.8
2020,0.5,0.7,0.7,0.7,0.5,0.5,0.3,0.1,0.2,0.3,0.5,0.5
2021,-1.0,0.5,0.4,0.2,-0.1,-0.3,-0.4,-0.6,-0.9,-1.2,-1.3,-1.2
2022,-1.0,-0.9,-0.8,-0.7,-0.5,-0.4,-0.4,-0.5,-0.7,-0.8,-1.0,-1.0
2023,-0.7,-0.9,-1.0,-1.1,-1.0,-0.9,-0.8,-0.9,-1.0,-1.0,-0.9,-0.8
2024,1.8,-0.4,-0.1,0.2,0.5,0.8,1.1,1.3,1.6,1.8,1.9,2.0